Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
"{{plainlist|*'''|flagcountry|Nazi Germany|'''*|flagcountry|Kingdom of Italy|*|flagcountry|Kingdom of Romania|*|flagcountry|Kingdom of Hungary|*|flagicon|Independent State of Croatia| Independent State of Croatia|Croatia*|flagcountry|Slovak Republic (1939–1945)|ref|Holt (2009), p. 47.|}}",{{plainlist|*|flagicon|Nazi Germany| Adolf Hitler|ref label|A|a|a|*|flagicon|Nazi Germany| Fedor von Bock*|flagicon|Nazi Germany| Maximilian von Weichs*|flagicon|Nazi Germany| Wilhelm List*|flagicon|Nazi Germany| Erich von Manstein*|flagicon|Nazi Germany| Paul Ludwig Ewald von Kleist|Paul von Kleist*|flagicon|Nazi Germany| Alexander Löhr*|flagicon|Nazi Germany| Wolfram Freiherr von Richthofen|W. von Richthofen*|flagicon|Kingdom of Italy| Italo Gariboldi*|flagicon|Kingdom of Romania| Petre Dumitrescu}},"{{unbulleted list| '''1,300,000 personnel'''|unbulleted list|1 million Germans|300,000 German allies||1,900 tanks|ref label|B|b|b|ref| name=A2425|Antill (2007), pp. 24–25.|||1,610 aircraft|ref| name=H129}}",{{ref label|C|note|c}},{{flag|Soviet Union|1923|name|=|'''Soviet Union'''}},{{plainlist|*|flagicon|Soviet Union|1923| Joseph Stalin*|flagicon|Soviet Union|1923| Aleksandr Vasilevsky*|flagicon|Soviet Union|1923| Georgy Zhukov*|flagicon|Soviet Union|1923| Dmitri Timofeyevich Kozlov|Dmitri Kozlov*|flagicon|Soviet Union|1923| Ivan Tyulenev*|flagicon|Soviet Union|1923| Semyon Budyonny|Semyon M. Budenny*|flagicon|Soviet Union|1923| Filipp Golikov*|flagicon|Soviet Union|1923| Rodion Malinovsky*|flagicon|Soviet Union|1923| Andrey Yeryomenko*|flagicon|Soviet Union|1923| Konstantin Rokossovsky|K. Rokossovsky*|flagicon|Soviet Union|1923| Semyon Timoshenko}},"{{unbulleted list|'''Initially: 2,700,000 personnel'''|unbulleted list|1,700,000 men|1,000,000 reserve||3,720 tanks|ref| name=A29||c. 1,671 aircraft|ref|Bergström 2007, pp. 49–50.|}}","{{unbulleted list|'''2,226,416'''|1,111,681 killed and missing|1,114,735 wounded and sick|ref label|D|note|d|ref|Glantz (1995), p. 295.|}}"
{{Flag icon|Germany|Nazi}},{{Flag icon|Germany|Nazi}},,"94,500 casualties including 19,000 KIA and MIAref name=""lib.ru""{{cite web|url=http://militera.lib.ru/research/beshanov_vv/16.html|title=&#1042;&#1054;&#1045;&#1053;&#1053;&#1040;&#1071; &#1051;&#1048;&#1058;&#1045;&#1056;&#1040;&#1058;&#1059;&#1056;&#1040; -- &#1048;&#1089;&#1089;&#1083;&#1077;&#1076;&#1086;&#1074;&#1072;&#1085;&#1080;&#1103; ]-- &#1041;&#1077;&#1096;&#1072;&#1085;&#1086;&#1074; &#1042;.&#1042;. &#1043;&#1086;&#1076; 1942 - ""&#1091;&#1095;&#1077;&#1073;&#1085;&#1099;&#1081;""|language=ru}}&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{Flag icon|Soviet Union|1923}},,"'''568,347'''290,522 killed and 80,000 capturedref name=""lib.ru""197,825 woundedrefGlantz (1995), p. 295&lt;/ref&gt;"
{{flag|Nazi Germany|name|=|Germany}},,,,{{flag|Soviet Union|1923}},,,
{{unbulleted list|flagcountry|Nazi Germany|1935||flagcountry|Kingdom of Romania||flag|Kingdom of Italy|name|=|Italy||flag|Kingdom of Hungary|name|=|Hungary||flag|Independent State of Croatia|name|=|Croatia}},{{Unbulleted list|Flagicon|Nazi Germany|1935| Friedrich Paulus|Surrendered||Flagicon|Nazi Germany|1935| Erich von Manstein|Flagicon|Nazi Germany|1935| Wolfram Freiherr von Richthofen|W.F. von Richthofen|Flagicon|Kingdom of Romania| Petre Dumitrescu|Flagicon|Kingdom of Romania| Constantin Constantinescu-Claps|C. Constantinescu|Flagicon|Kingdom of Italy| Italo Gariboldi|Flagicon|Kingdom of Hungary| Gusztáv Jány|Flagicon|Independent State of Croatia| Viktor Pavičić|KIA}},"{{Unbulleted list|270,000 personnel|3,000 artillery pieces|500 tanks|600 aircraft, 1,600 by mid-September (''Luftflotte 4'')|ref| group=""Note""|This force grew to 1,600 in early September by withdrawing forces from the Kuban region and South Caucasus: Hayward (1998), p. 195.||ref| name=Bergstrom2007|{{harvnb|Bergström|2007|pp=}}|}}","{{Unbulleted list|'''728,000 men'''|Flagicon|Nazi Germany|1935| 400,000|Flagicon|Kingdom of Italy| 114,000|Flagicon|Kingdom of Romania| 109,000|Flagicon|Kingdom of Hungary| 105,000----|900 aircraft|1,500 tanks|6,000 guns}}",{{flag|Soviet Union|1923}},{{Unbulleted list|Flagicon|Soviet Union|1923| Georgy Zhukov|||Flagicon|Soviet Union|1923| Nikolay Voronov|||Flagicon|Soviet Union|1923| Aleksandr Vasilevsky|A.M. Vasilevsky|||Flagicon|Soviet Union|1923| Andrey Yeryomenko|||Flagicon|Soviet Union|1923| Nikita Khrushchev|||Flagicon|Soviet Union|1923| Konstantin Rokossovsky|K.K. Rokossovsky|||Flagicon|Soviet Union|1923| Nikolai Fyodorovich Vatutin|Nikolai Vatutin|||Flagicon|Soviet Union|1923| Vasily Chuikov|||}},"{{Unbulleted list| 187,000 personnel|2,200 artillery pieces|400 tanks|300 aircraft|ref| name=Bergstrom2007|Rp|72|date|=|May 2009}}","{{Unbulleted list|'''1,129,619 men'''|478,741 killed and missing|650,878 wounded or sick----|2,769 aircraft|4,341 tanks|15,728 guns}}"
{{flag|USSR|1923|name|=|Soviet Union}},{{flagicon|USSR|1923}},"1,143,500 personnel (including reserve)ref name=""Glantz &amp; House (1995), p. 134""{{harvnb|Glantz|House|1995|p=134}}&lt;/ref&gt;  894 tanksref name=""Glantz &amp; House (1995), p. 134"" 13,451 artillery piecesref name=""Glantz &amp; House (1995), p. 134""  1,500 aircraftref{{harvnb|Bergstr&#246;m|2007|p=87}}&lt;/ref&gt;",,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"'''German''':, 250,000+ personnel, unknown number of artillery pieces,  732 aircraft (402 serviceable)  '''Italian''':, 220,000 personnel, unknown number of artillery pieces or aircraftref name=Bergstrom88 '''Romanian''':, 143,296 personnel,  827 artillery pieces,  134 tanks,  unknown number of aircraftref name=Bergstrom88{{harvnb|Bergstr&#246;m|2007|p=88}}&lt;/ref&gt; '''Hungarian''': ,  200,000 personnel, unknown number of artillery pieces or tanksref{{cite book |title=A Thousand Years of the Hungarian Art of War |author=Anthony Tihamer Komjathy|publisher=Rakoczi Foundation| location=Toronto| isbn=0819165247|pages=144&#8211;45|year=1982}}&lt;/ref&gt;",
{{flag|USSR|1923|name|=|Soviet Union}},{{flagicon|USSR|1923|name|=|Soviet Union}},"702,923 personnel,, 1,718 tanksref name=""militera.lib.ru""",{{sfn|Glantz|1999|p|=|308}},{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany|name|=|Germany}},"3 combined corps (with 13 infantry divisions and 2 paratrooper divisions), 2 panzer corps (5 panzer divisions, 3 motorized divisions), 1,615 tanksref name=""militera.lib.ru""http://militera.lib.ru/h/isaev_av6/08.html &#1048;&#1089;&#1072;&#1077;&#1074;, &#1040;&#1083;&#1077;&#1082;&#1089;&#1077;&#1081; &#1042;&#1072;&#1083;&#1077;&#1088;&#1100;&#1077;&#1074;&#1080;&#1095;. &#1050;&#1086;&#1075;&#1076;&#1072; &#1074;&#1085;&#1077;&#1079;&#1072;&#1087;&#1085;&#1086;&#1089;&#1090;&#1080; &#1091;&#1078;&#1077; &#1085;&#1077; &#1073;&#1099;&#1083;&#1086;. &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1042;&#1054;&#1042;, &#1082;&#1086;&#1090;&#1086;&#1088;&#1091;&#1102; &#1084;&#1099; &#1085;&#1077; &#1079;&#1085;&#1072;&#1083;&#1080;. &#8212; &#1052;.: &#1071;&#1091;&#1079;&#1072;, &#1069;&#1082;&#1089;&#1084;&#1086;, 2006. (Alexey Valeryevich Isayev. When the sudden element was lost &#8211; History of World War II, the facts that we do not know. Yauza &amp; Penguin Books. Moskva. 2006. Part II: 1942 Autumn-Winter Offensive. Sector 2: Operation Mars)]&lt;/ref&gt;, Total forces:,  ~ 350,000 troops.","'''Grossmann''': 40,000 casualtiesref name=""Grossmann H. Rzhew 1980""http://militera.lib.ru/h/grossman/index.html &#1043;&#1088;&#1086;&#1089;&#1089;&#1084;&#1072;&#1085;&#1085; &#1061;&#1086;&#1088;&#1089;&#1090;. &#1056;&#1078;&#1077;&#1074; &#8212; &#1082;&#1088;&#1072;&#1077;&#1091;&#1075;&#1086;&#1083;&#1100;&#1085;&#1099;&#1081; &#1082;&#1072;&#1084;&#1077;&#1085;&#1100; &#1042;&#1086;&#1089;&#1090;&#1086;&#1095;&#1085;&#1086;&#1075;&#1086; &#1092;&#1088;&#1086;&#1085;&#1090;&#1072;. &#8212; &#1056;&#1078;&#1077;&#1074;: &#171;&#1056;&#1078;&#1077;&#1074;&#1089;&#1082;&#1072;&#1103; &#1087;&#1088;&#1072;&#1074;&#1076;&#1072;&#187;, 1996. German name: Grossmann H. Rzhew: Eckpfeiler der Ostfront. &#8212; Friedberg : Podzun-Pallas-Verlag, 1980.]&lt;/ref&gt;"
{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,,{{flagicon|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},,
{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,"Soviet claims for 12,000 KIA,, 5,000 POW,, unknown WIA,, 84 tanks,, 106 guns,, 300 aircraft destroyed",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},,"Unknown KIA, Unknown MIA, Unknown WIA, up to 190 tanks"
{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},{{Citation needed|date|=|February 2011}},{{Citation needed|date|=|February 2011}},{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},{{Citation needed|date|=|May 2012}},{{Citation needed|date|=|May 2012}}
{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"(On 23 December)150,000 personnel630 tanks1,500 artillery gunsref name =""Erickson198323""",,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"est. 50,000+ personnel250 tanks",
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"LIX Korps – ~50,000 (on 19 Nov), '''Reinforcement forces:''' ~50,000ref name=""militera.lib.ru""http://militera.lib.ru/h/efo/03.html Oldwitg von Natzmer. Operations of Encircled Forces. German Experiences in Russia. &#8212; Department of the Army, Washington, DC 1952. (Oldwitg von Natzmer). Washington DC. 1952]&lt;/ref&gt;","Soviet estimate: ~60.000 killed, missing or wounded, 4.500 capturedref name=""Maksimov""&#1042;&#1077;&#1083;&#1080;&#1082;&#1072;&#1103; &#1054;&#1090;&#1077;&#1095;&#1077;&#1089;&#1090;&#1074;&#1077;&#1085;&#1085;&#1072;&#1103; &#1074;&#1086;&#1081;&#1085;&#1072;. 1941&#8212;1945 &#1075;&#1075;. &#1057;&#1087;&#1088;&#1072;&#1074;&#1086;&#1095;&#1085;&#1086;&#1077; &#1087;&#1086;&#1089;&#1086;&#1073;&#1080;&#1077;/ &#1040;&#1074;&#1090;&#1086;&#1088;-&#1089;&#1086;&#1089;&#1090;&#1072;&#1074;&#1080;&#1090;&#1077;&#1083;&#1100; &#1048;. &#1048;. &#1052;&#1072;&#1082;&#1089;&#1080;&#1084;&#1086;&#1074;. &#8212; &#1052;.: &#1048;&#1079;&#1076;&#1072;&#1090;&#1077;&#1083;&#1100;&#1089;&#1090;&#1074;&#1086; &#171;&#1044;&#1048;&#1050;&#187;, 2005. {{ISBN|5-8213-0232-3}}&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"3rd Shock Army – 95,608 (on 19 Nov), '''Reinforcement forces:''' 86,700ref name=""Galickiy""''&#1043;&#1072;&#1083;&#1080;&#1094;&#1082;&#1080;&#1081; &#1050;. &#1053;.'' &#1043;&#1086;&#1076;&#1099; &#1089;&#1091;&#1088;&#1086;&#1074;&#1099;&#1093; &#1080;&#1089;&#1087;&#1099;&#1090;&#1072;&#1085;&#1080;&#1081;. 1941&#8212;1944 (&#1079;&#1072;&#1087;&#1080;&#1089;&#1082;&#1080; &#1082;&#1086;&#1084;&#1072;&#1085;&#1076;&#1072;&#1088;&#1084;&#1072;) &#8212; &#1052;.: &#1053;&#1072;&#1091;&#1082;&#1072;, 1973. &#1089;&#1090;&#1088;.185&lt;/ref&gt;","'''104,022''', 31,674 killed or missing, 72,348 woundedref name=glantzGlantz (1995), p. 296&lt;/ref&gt;"
{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,,{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},,
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"'''Initial:''', *250th: 5,900 infantry*4th SS: uncertain'''Reinforcements:''', *uncertain","250th: 3,645 killed and wounded, 300 missing, Other units: uncertain",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"'''Initial:''', 33,000 infantry, 30 tanks, 1,000 Artillery pieces and Mortars'''Total:''',  38,000 infantry,  90 tanks","More than 20,000 killed, wounded and missing"
{{flagicon|Hungary|1940}},{{flagicon|Hungary|1940}},Unknown,"'''Russian sources''', 123,000 killed and captured,1,400 artillery pieces,262 tanksref name=""9may""http://militera.lib.ru/memo/russian/9may/12.html 9 &#1084;&#1072;&#1103; 1945 &#1075;&#1086;&#1076;&#1072; - &#1042;&#1086;&#1089;&#1087;&#1086;&#1084;&#1080;&#1085;&#1072;&#1085;&#1080;&#1103;, &#1057;&#1086;&#1089;&#1090;&#1072;&#1074;&#1080;&#1090;&#1077;&#1083;&#1080;: &#1042;. &#1044;. &#1042;&#1086;&#1079;&#1085;&#1077;&#1089;&#1077;&#1085;&#1089;&#1082;&#1080;&#1081; &#1044;. &#1041;. &#1056;&#1091;&#1073;&#1077;&#1078;&#1085;&#1099;&#1081;. &#1055;&#1086;&#1076; &#1088;&#1077;&#1076;&#1072;&#1082;&#1094;&#1080;&#1077;&#1081; &#1095;&#1083;&#1077;&#1085;&#1072;-&#1082;&#1086;&#1088;&#1088;&#1077;&#1089;&#1087;&#1086;&#1085;&#1076;&#1077;&#1085;&#1090;&#1072; &#1040;&#1053; &#1057;&#1057;&#1057;&#1056; &#1040;. &#1052;. &#1057;&#1072;&#1084;&#1089;&#1086;&#1085;&#1086;&#1074;&#1072;.&#8212; &#1052;.: &#1053;&#1072;&#1091;&#1082;&#1072;, 1970 - &#1050;. &#1057;. &#1052;&#1086;&#1089;&#1082;&#1072;&#1083;&#1077;&#1085;&#1082;&#1086;, &#1042; &#1073;&#1086;&#1103;&#1093; &#1088;&#1086;&#1078;&#1076;&#1072;&#1083;&#1072;&#1089;&#1100; &#1055;&#1086;&#1073;&#1077;&#1076;&#1072;]&lt;/ref&gt;'''Ignac Romsics''', 40,000 KIA, 35,000 WIA, 60,000 POW. (Hungarian only)refIgnac Romsics: The history of Hungary in the 20th century, 255p., Osiris, 1999.; {{ISBN|963 379 548 6}}&lt;/ref&gt;'''Krisztián Ungváry''', 42,000 KIA or frozen, 26,000 POW, at least 28,044 WIA (Hungarian only)refKriszti&#225;n Ungv&#225;ry: The Hungarian Army in the Second World War,196p., Osiris, 2005.;{{ISBN|963 389 685 1}}&lt;/ref&gt;",{{flagicon|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},Unknown,"'''37,423'''ref name=""Krivishev5""http://www.soldat.ru/doc/casualties/book/chapter5_10_1.html#5_10_21 &#1043;. &#1060;. &#1050;&#1088;&#1080;&#1074;&#1086;&#1096;&#1077;&#1077;&#1074;, &#1056;&#1086;&#1089;&#1089;&#1080;&#1103; &#1080; &#1057;&#1057;&#1057;&#1056; &#1074; &#1074;&#1086;&#1081;&#1085;&#1072;&#1093; XX &#1074;&#1077;&#1082;&#1072; - &#1055;&#1086;&#1090;&#1077;&#1088;&#1080; &#1074;&#1086;&#1086;&#1088;&#1091;&#1078;&#1077;&#1085;&#1085;&#1099;&#1093; &#1089;&#1080;&#1083; - &#1057;&#1090;&#1072;&#1090;&#1080;&#1089;&#1090;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1080;&#1089;&#1089;&#1083;&#1077;&#1076;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;, &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;, &#1054;&#1083;&#1084;&#1072;, 2001]&lt;/ref&gt;ref{{Cite web|author     = General-Lieutenant G.F.KRIVOSHEYEV|year       = 1993 |title      = SOVIET ARMED FORCES LOSSES IN WARS,COMBAT OPERATIONS MILITARY CONFLICTS|publisher  = MOSCOW MILITARY PUBLISHING HOUSE|pages       = 164|accessdate = 2015-06-21|url = http://documents.theblackvault.com/documents/SovietLosses.pdf}}&lt;/ref&gt;, 13,876 killed, 23,547 wounded/sick"
{{flagcountry|Nazi Germany}},"Maximilian von Weichs, Hans von Salmuth","327,900 men, 960 tanks","91,000 KIA/WIA/MIA 143 tanks,765 artillery pieces,2,300 trucksref name=""Kazakov6""http://militera.lib.ru/memo/russian/kazakov_mi/06.html &#1050;&#1072;&#1079;&#1072;&#1082;&#1086;&#1074; &#1052;&#1080;&#1093;&#1072;&#1080;&#1083; &#1048;&#1083;&#1100;&#1080;&#1095;, &#1053;&#1072;&#1076; &#1082;&#1072;&#1088;&#1090;&#1086;&#1081; &#1073;&#1099;&#1083;&#1099;&#1093; &#1089;&#1088;&#1072;&#1078;&#1077;&#1085;&#1080;&#1081;. &#8212; &#1052;.: &#1042;&#1086;&#1077;&#1085;&#1080;&#1079;&#1076;&#1072;&#1090;, 1971. &#1044;&#1086;&#1088;&#1086;&#1075;&#1080; &#1085;&#1072;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1103;/&#1044;&#1072;&#1083;&#1100;&#1096;&#1077; &#8212; &#1085;&#1072; &#1050;&#1072;&#1089;&#1090;&#1086;&#1088;&#1085;&#1086;&#1077;.]&lt;/ref&gt;",{{flag|Soviet Union|1923}},"Aleksandr Vasilevsky, Filipp Golikov, Max Reyter","987,000 men, 2,100 tanks","13,876 KIA.ref name=""Krivochev""http://www.soldat.ru/doc/casualties/book/chapter5_10_1.html#5_10_21 &#1043;. &#1060;. &#1050;&#1088;&#1080;&#1074;&#1086;&#1096;&#1077;&#1077;&#1074;, &#1056;&#1086;&#1089;&#1089;&#1080;&#1103; &#1080; &#1057;&#1057;&#1057;&#1056; &#1074; &#1074;&#1086;&#1081;&#1085;&#1072;&#1093; XX &#1074;&#1077;&#1082;&#1072;-&#1055;&#1086;&#1090;&#1077;&#1088;&#1080; &#1074;&#1086;&#1086;&#1088;&#1091;&#1078;&#1077;&#1085;&#1085;&#1099;&#1093; &#1089;&#1080;&#1083;-&#1057;&#1090;&#1072;&#1090;&#1080;&#1089;&#1090;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1080;&#1089;&#1089;&#1083;&#1077;&#1076;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,&#1052;&#1086;&#1089;&#1082;&#1074;&#1072;,&#1054;&#1083;&#1084;&#1072;,2001]&lt;/ref&gt;"
{{flag|Soviet Union|1923}},{{Flagicon|Soviet Union|1923}},"Involved in the defense of Kharkov: '''346,000''' ref name=""Glantz95296"" ","'''86,469 overall''', 45,219 killed, 41,250 woundedref name=""Glantz95296"" ",{{flagcountry|Nazi Germany}},{{Flagicon|Nazi Germany}},"Involved in the offense on Kharkov: '''70,000''' ref name=""Glantz91252253"" ","'''~11,500 overall''', ~4,500 KIA and MIAref name=""Reynolds10"" , ~7,000 woundedref name=""Reynolds10"" "
{{flagicon|Nazi Germany}},{{plainlist|*|flagicon|Nazi Germany|1935| Erich von Manstein*|flagicon|Nazi Germany|1935| Günther von Kluge*|flagicon|Nazi Germany|1935| Hermann Hoth*|flagicon|Nazi Germany|1935| Werner Kempf*|flagicon|Nazi Germany|1935| Walter Model}},{{plainlist}},{{plainlist}},{{flag|Soviet Union|1923}},{{plainlist|*|flagicon|Soviet Union|1923| Georgy Zhukov*|flagicon|Soviet Union|1923| Konstantin Rokossovsky*|flagicon|Soviet Union|1923| Nikolai Vatutin*|flagicon|Soviet Union|1923| Ivan Konev}},{{plainlist}},{{plainlist}}
{{flagicon|Nazi Germany}},{{plainlist|*Erich von Manstein*Günther von Kluge*Hermann Hoth*Werner Kempf*Walter Model}},{{plainlist}},{{plainlist}},{{flag|Soviet Union|1923}},{{plainlist|*Georgy Zhukov*Konstantin Rokossovsky*Nikolai Vatutin*Ivan Konev}},{{plainlist}},{{plainlist}}
{{flagcountry|Nazi Germany|1935}},{{plainlist|* Hermann Hoth* Paul Hausser----*Otto Deßloch}},{{efn|name|=|Opposing forces}},{{efn|name|=|Casualties and losses}},{{flagcountry|Soviet Union|1923}},{{plainlist|*Nikolai Fyodorovich Vatutin|Nikolai Vatutin* Pavel Rotmistrov* Alexei Semenovich Zhadov|Alexei Zhadov----* Stepan Krasovsky*Vladimir Aleksandrovich Sudets|Vladimir Sudets}},{{efn|name|=|Opposing forces}},{{efn|name|=|Casualties and losses}}
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{sfn|Frieser|2007|p|=|177}},{{sfn|Frieser|2007|p|=|154}},{{flag|Soviet Union|1923}},{{flagicon|USSR}},{{sfn|Bergström|2007|p|=|83}},{{sfn|Krivosheev|1997|p|=|133}}
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"Soviet estimate: 850,000 men8,800 guns500 tanks700 aircraftref name=""History241""A.A. Grechko and al., ''History of Second World War'', Moscow, 1973&#8211;1979, tome 7, p.241&lt;/ref&gt;","'''German sources:ref{{cite web |url=http://ww2stats.com/cas_ger_okh_dec43.html |title=Archived copy |accessdate=2014-03-13 |deadurl=yes |archiveurl=https://web.archive.org/web/20130525020822/http://ww2stats.com/cas_ger_okh_dec43.html |archivedate=25 May 2013 |df=dmy-all }}&lt;/ref&gt;''', ''Total: 70,593'', 3 panzer army 10.08 - 30.09.43: 765 KIA, 3,386 WIA, 270 MIA;, 4 army 10.08 - 30.09.43: 8,825 KIA, 35,237 WIA, 4,127 MIA, 9 army 20.08 - 30.09.43: 3,394 KIA, 12,688 WIA, 1,901 MIA, '''Soviet sources:''' 200,000–250,000 casualtiesrefV.A. Zolotarev and al., ''Great Patriotic War 1941&#8211;1945'', Moskva, 1998, p 473.&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"1,252,600 menref name=glantzGlantz (1995), p. 297&lt;/ref&gt;20,640 guns1,430 tanks1,100 aircraftref name=""History241""","'''Soviet sources: 451,466 overall''', (Including 107,645 killed, missing or captured, 343,821 wounded and sickref name=glantz)"
{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"Army Group Centre, * 4th Army (Wehrmacht)|German 4th Army",c. 1500,{{flag|Soviet Union|1923}},{{flagicon|Soviet Union}},"33rd Army (Soviet Union)|33rd Soviet Army, Polish 1st Tadeusz Kościuszko Infantry Division",c. 3000
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"200,000 men; 237&nbsp;tanks and assault guns at the outset",{{sfn|Frieser|2007|p|=|154}},{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},{{sfn|Krivosheev|1997|p|=|134}},{{sfn|Glantz|House|1995|p|=|297}}
{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},{{dubious|date|=|May 2016}},Unknown,{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},{{dubious|date|=|May 2016}},"50,000 killed 800 Tanks destroyed or damaged"
{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},,{{flag|Nazi Germany|name|=| Nazi Germany}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"70,000 men, 1,100 artillery pieces, 250 tanks, 300 aircraft","5,230 killed, 20,724 woundedref{{cite web |url=http://ww2stats.com/cas_ger_okh_dec43.html |title=Archived copy |accessdate=2014-03-13 |deadurl=yes |archiveurl=https://web.archive.org/web/20130525020822/http://ww2stats.com/cas_ger_okh_dec43.html |archivedate=25 May 2013 |df=dmy-all }}&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"200,000 men, 3,000 artillery pieces, 500 tanks, 1,000 aircraft","'''Soviet casualties:'''refhttps://web.archive.org/web/20081221155747/http://www.soldat.ru/doc/casualties/book/chapter5_10_1.html#5_10_31&lt;/ref&gt;, 32,934 killed and missing, 85,108 wounded and sick, '''Czechoslovak casualties:'''ref name=""Gelbi&#269;""{{cite web|last1=Gelbi&#269;|first1=Michal|title=Battle of Kiev (03.-06.11.1943)|url=http://www.czechpatriots.com//bri-combats.php|website=Czechoslovak military units in the USSR|accessdate=21 March 2017}}&lt;/ref&gt;, 30 killed, 80 wounded, 4 missed"
